customer_job_id,customer_id,root_id,created_at,current_job_total,old_sum,new_sum,versions,rank,delta,stored_delta
12966,223,11175,2025-04-29T03:52:51.595Z,1200.50,0,1200.00,9,1,1200.00,-0.50
14284,170,11249,2025-06-01T22:31:09.166Z,1162.50,0,1161.00,9,1,1161.00,-1.50
21771,257,11253,2025-10-14T04:59:18.453Z,3785.50,0,3784.00,16,1,3784.00,-1.50
13326,49,11262,2025-05-14T01:26:23.814Z,3465.00,0,3464.00,14,1,3464.00,-1.00
45415,19,11341,2026-06-02T10:55:54.626Z,1142.50,0,1140.00,17,1,1140.00,-2.50
11706,7,11359,2025-04-01T22:26:41.473Z,421.50,0,421.00,7,1,421.00,-0.50
11710,154,11361,2025-04-01T22:27:34.570Z,654.50,0,654.00,6,1,654.00,-0.50
11635,188,11364,2025-04-01T22:13:10.664Z,336.00,0,335.00,6,1,335.00,-1.00
11644,168,11366,2025-04-01T22:14:53.561Z,990.50,0,990.00,5,1,990.00,-0.50
11728,185,11369,2025-04-01T22:33:54.213Z,1193.50,0,1193.00,7,1,1193.00,-0.50
12777,149,11371,2025-04-28T19:37:25.272Z,1852.50,0,1852.00,7,1,1852.00,-0.50
22503,82,11422,2025-10-18T20:47:40.499Z,1245.50,0,1245.00,14,1,1245.00,-0.50
11907,189,11429,2025-04-11T01:50:02.636Z,1881.00,0,1879.00,9,1,1879.00,-2.00
11945,178,11452,2025-04-18T17:24:08.835Z,846.50,0,846.00,5,1,846.00,-0.50
11929,77,11461,2025-04-13T18:58:54.620Z,1000.00,0,998.00,12,1,998.00,-2.00
13329,187,11464,2025-05-14T01:59:03.801Z,535.00,0,534.00,6,1,534.00,-1.00
11901,213,11467,2025-04-03T18:41:21.300Z,1029.00,0,1027.00,8,1,1027.00,-2.00
11914,205,11483,2025-04-11T02:26:30.985Z,431.00,0,430.00,4,1,430.00,-1.00
13323,215,11489,2025-05-06T19:35:36.862Z,840.00,0,839.00,10,1,839.00,-1.00
22763,237,11664,2025-10-22T15:42:18.363Z,931.50,0,927.00,26,1,927.00,-4.50
12838,211,11899,2025-04-28T19:54:33.018Z,840.00,0,839.00,5,1,839.00,-1.00
24225,194,12008,2025-11-04T21:08:12.827Z,1960.50,0,1958.00,14,1,1958.00,-2.50
18043,195,12022,2025-08-24T21:23:08.901Z,1656.00,0,1656.50,12,1,1656.50,0.50
22804,81,12884,2025-10-23T03:55:11.546Z,2075.00,0,2072.00,19,1,2072.00,-3.00
22692,138,12942,2025-10-18T21:28:23.027Z,1173.00,0,1170.00,22,1,1170.00,-3.00
49034,123,14296,2026-09-15T10:28:02.231Z,1008.75,0,1008.00,3,1,1008.00,-0.75
22979,222,14319,2025-10-28T02:47:14.543Z,2597.50,0,2597.00,12,1,2597.00,-0.50
46556,298,15498,2026-07-21T04:12:32.728Z,3411.50,0,3411.00,36,1,3411.00,-0.50
48640,230,16829,2026-09-06T12:04:54.677Z,7003.75,0,7003.00,45,1,7003.00,-0.75
47266,302,16837,2026-08-17T11:00:11.229Z,1618.25,0,1617.00,12,1,1617.00,-1.25
19221,303,17194,2025-09-02T20:12:13.479Z,954.50,0,954.00,5,1,954.00,-0.50
21815,233,17196,2025-10-14T05:09:44.903Z,704.00,0,708.00,15,1,708.00,4.00
28128,49,18111,2025-12-24T11:35:27.286Z,35.50,0,35.00,4,1,35.00,-0.50
24311,156,20499,2025-11-16T03:20:18.344Z,1197.00,0,1195.00,13,1,1195.00,-2.00
20698,257,20527,2025-09-30T21:27:42.901Z,102.00,0,101.00,4,1,101.00,-1.00
22791,259,20816,2025-10-23T03:52:24.787Z,1255.00,0,1252.00,18,1,1252.00,-3.00
29097,80,21296,2026-01-01T12:22:24.498Z,345.50,0,344.00,17,1,344.00,-1.50
22694,304,21319,2025-10-18T21:28:40.185Z,649.50,0,648.00,7,1,648.00,-1.50
22693,305,21321,2025-10-18T21:28:30.822Z,618.00,0,617.00,6,1,617.00,-1.00
28644,196,21554,2026-01-01T10:29:08.202Z,1029.50,0,1027.00,12,1,1027.00,-2.50
26074,296,21596,2025-11-28T00:10:14.255Z,164.50,0,164.00,11,1,164.00,-0.50
28372,34,21695,2025-12-26T23:59:14.893Z,2997.00,0,2993.00,39,1,2993.00,-4.00
30470,232,23019,2026-01-28T02:46:42.848Z,395.00,0,393.00,25,1,393.00,-2.00
26166,156,24709,2025-11-29T05:04:32.612Z,54.00,0,53.00,7,1,53.00,-1.00
24714,81,24712,2025-11-19T04:33:15.952Z,22.50,0,22.00,3,1,22.00,-0.50
25393,92,25391,2025-11-22T03:32:12.477Z,58.50,0,58.00,3,1,58.00,-0.50
29978,84,26064,2026-01-27T11:56:56.788Z,72.00,0,71.00,7,1,71.00,-1.00
47263,72,29738,2026-08-17T10:52:14.389Z,646.00,0,645.00,7,1,645.00,-1.00
33049,230,31603,2026-02-04T02:00:39.083Z,90.00,0,89.00,8,1,89.00,-1.00
47262,67,32305,2026-08-17T10:50:23.289Z,75.75,0,75.00,10,1,75.00,-0.75
45749,294,33064,2026-06-12T11:33:51.502Z,2588.00,0,2586.00,23,1,2586.00,-2.00
36854,37,33539,2026-03-10T10:19:40.105Z,1489.00,0,1488.00,18,1,1488.00,-1.00
36852,16,33614,2026-03-10T10:15:50.042Z,576.00,0,575.00,12,1,575.00,-1.00
45159,24,35294,2026-05-20T00:14:40.802Z,495.50,0,492.00,17,1,492.00,-3.50
42116,322,35856,2026-04-11T01:08:30.675Z,102.00,0,101.00,9,1,101.00,-1.00
45161,321,35859,2026-05-20T00:18:52.997Z,225.00,0,223.00,14,1,223.00,-2.00
41977,216,36013,2026-04-03T11:22:44.064Z,575.00,0,573.00,22,1,573.00,-2.00
45147,127,36150,2026-05-19T12:07:13.880Z,2865.00,0,2863.00,28,1,2863.00,-2.00
48638,298,36480,2026-09-06T12:03:29.746Z,10363.25,0,10362.00,103,1,10362.00,-1.25
41958,243,36999,2026-04-03T10:52:03.193Z,426.50,0,425.00,12,1,425.00,-1.50
48065,122,37058,2026-09-05T03:53:40.768Z,2750.75,0,2748.00,14,1,2748.00,-2.75
49029,125,37061,2026-09-15T10:19:45.319Z,1223.50,0,1222.00,8,1,1222.00,-1.50
49030,44,37072,2026-09-15T10:22:00.470Z,1146.00,0,1145.00,5,1,1145.00,-1.00
45146,279,37465,2026-05-19T12:05:52.894Z,1135.50,0,1133.00,16,1,1133.00,-2.50
46932,147,37813,2026-08-06T09:16:19.934Z,1538.50,0,1529.00,35,1,1529.00,-9.50
45165,303,37863,2026-05-20T00:25:45.970Z,1550.00,0,1549.00,14,1,1549.00,-1.00
45149,77,38125,2026-05-19T12:13:47.031Z,1677.50,0,1676.00,20,1,1676.00,-1.50
45178,33,38128,2026-05-22T00:59:37.336Z,960.00,0,959.00,14,1,959.00,-1.00
41984,291,38142,2026-04-03T11:50:32.916Z,1437.00,0,1435.00,18,1,1435.00,-2.00
45163,27,38491,2026-05-20T00:23:21.658Z,1247.00,0,1244.00,24,1,1244.00,-3.00
44648,2,38507,2026-05-08T00:44:30.107Z,1458.00,0,1457.00,12,1,1457.00,-1.00
41973,32,38510,2026-04-03T11:17:20.246Z,519.00,0,518.00,12,1,518.00,-1.00
49014,123,38515,2026-09-14T21:16:19.428Z,1568.25,0,1566.00,28,1,1566.00,-2.25
44649,138,38979,2026-05-08T00:46:44.684Z,986.00,0,983.00,24,1,983.00,-3.00
46933,167,39379,2026-08-06T09:18:30.303Z,1240.75,0,1236.00,18,1,1236.00,-4.75
45139,39,39382,2026-05-19T11:52:58.419Z,691.00,0,685.00,33,1,685.00,-6.00
45733,90,40515,2026-06-09T09:16:19.382Z,1228.00,0,1226.00,16,1,1226.00,-2.00
45166,213,40677,2026-05-20T00:26:55.804Z,1079.50,0,1077.00,16,1,1077.00,-2.50
45142,215,41138,2026-05-19T12:00:24.948Z,1497.50,0,1495.00,20,1,1495.00,-2.50
45150,272,41234,2026-05-19T12:14:55.607Z,909.00,0,907.00,11,1,907.00,-2.00
44647,203,42532,2026-05-08T00:39:12.301Z,1537.00,0,1536.00,11,1,1536.00,-1.00
45162,289,42705,2026-05-20T00:19:51.856Z,991.00,0,990.00,8,1,990.00,-1.00
45747,333,42742,2026-06-12T11:29:07.137Z,673.25,0,667.00,20,1,667.00,-6.25
44325,252,42905,2026-05-03T05:27:09.959Z,172.50,0,164.00,23,1,164.00,-8.50
46360,72,43167,2026-07-11T06:55:57.948Z,176.25,0,176.00,4,1,176.00,-0.25
49028,124,44547,2026-09-15T10:18:37.038Z,590.00,0,587.00,9,1,587.00,-3.00
49032,281,49031,2026-09-15T10:24:19.585Z,394.75,0,394.00,2,1,394.00,-0.75
